"","Site","Compartment"
"mthBS1","h","BS"
"mthBS2","h","BS"
"mthBS3","h","BS"
"mthBS4","h","BS"
"mtnBS1","n","BS"
"mtnBS2","n","BS"
"mtnBS3","n","BS"
"mtnBS4","n","BS"
"mtdBS1","d","BS"
"mtdBS2","d","BS"
"mtdBS3","d","BS"
"mtdBS4","d","BS"
"mtkBS1","k","BS"
"mtkBS2","k","BS"
"mtkBS3","k","BS"
"mtkBS4","k","BS"
"wtsBS1","s","BS"
"wtsBS2","s","BS"
"wtsBS3","s","BS"
"wtsBS4","s","BS"
"mthRS1","h","RS"
"mthRS2","h","RS"
"mthRS3","h","RS"
"mthRS4","h","RS"
"mtnRS1","n","RS"
"mtnRS2","n","RS"
"mtnRS3","n","RS"
"mtnRS4","n","RS"
"mtdRS1","d","RS"
"mtdRS2","d","RS"
"mtdRS3","d","RS"
"mtdRS4","d","RS"
"mtkRS1","k","RS"
"mtkRS2","k","RS"
"mtkRS3","k","RS"
"mtkRS4","k","RS"
"wtsRS1","s","RS"
"wtsRS2","s","RS"
"wtsRS3","s","RS"
"wtsRS4","s","RS"
"mthR1","h","R"
"mthR2","h","R"
"mthR3","h","R"
"mthR4","h","R"
"mtnR1","n","R"
"mtnR2","n","R"
"mtnR3","n","R"
"mtnR4","n","R"
"mtdR1","d","R"
"mtdR2","d","R"
"mtdR3","d","R"
"mtdR4","d","R"
"mtkR1","k","R"
"mtkR2","k","R"
"mtkR3","k","R"
"mtkR4","k","R"
"wtsR1","s","R"
"wtsR2","s","R"
"wtsR3","s","R"
"wtsR4","s","R"
"mthS1","h","S"
"mthS2","h","S"
"mthS3","h","S"
"mthS4","h","S"
"mtnS1","n","S"
"mtnS2","n","S"
"mtnS3","n","S"
"mtnS4","n","S"
"mtdS1","d","S"
"mtdS2","d","S"
"mtdS3","d","S"
"mtdS4","d","S"
"mtkS1","k","S"
"mtkS2","k","S"
"mtkS3","k","S"
"mtkS4","k","S"
"wtsS1","s","S"
"wtsS2","s","S"
"wtsS3","s","S"
"wtsS4","s","S"
"mthL1","h","L"
"mthL2","h","L"
"mthL3","h","L"
"mthL4","h","L"
"mtnL1","n","L"
"mtnL2","n","L"
"mtnL3","n","L"
"mtnL4","n","L"
"mtdL1","d","L"
"mtdL2","d","L"
"mtdL3","d","L"
"mtdL4","d","L"
"mtkL1","k","L"
"mtkL2","k","L"
"mtkL3","k","L"
"mtkL4","k","L"
"wtsL1","s","L"
"wtsL2","s","L"
"wtsL3","s","L"
"wtsL4","s","L"
